"CNT","Country","GNI","StudentTeacherRatio","TeacherMasters","ClassSize","ExtraCur","MaterialShortages","StaffShortages","StudentBehaviour","TeacherBehaviour","Attitude","Bullying","Discipline","SocioEcoStatus","ParentEducation","Competitiveness","Cooperation","TeacherFeedback","TeacherEngagment","TeacherInterest","TeacherSupport","TruantDay","TruantClass","PositiveAffect","LearningTime","Spending"
"AUS","Australia",0.567178839684831,-0.071288055095849,-0.0678425028014058,-0.419827123047345,1.18302336357405,-1.37369667382385,-0.686553799023488,0.158523584738474,0.609446493893013,0.521086458658621,1.02702597497486,-1.12971334843088,1.16255590851835,0.664737615600362,1.05432770518992,-0.0635662554362803,1.13551915340697,0.154027195139444,0.532086160201851,0.350099759527795,-0.404722217734067,-0.573718596313268,NA,-0.687890552307144,0.639745171007159
"AUT","Austria",0.78575547778181,NA,NA,-0.879633965684776,-1.28297004254734,-0.66220772211616,-0.305196642821698,0.15932799152684,-0.63427813852139,-0.0888183231894164,-0.458465395848138,0.574953640993081,0.63414547341031,-0.163771188760982,-0.403442126702356,1.54097970504264,-0.538916241631903,-1.16130187057238,-0.799072289337111,-2.18412695513102,-0.420466504517919,-0.384220156059792,0.122949876523993,0.795073890314588,1.27482872953678
"BEL","Belgium",0.637539700329382,-0.921681723759987,-0.905725391194154,-1.24611126350295,-1.54998045902694,-0.316727725219489,0.880782897368576,0.668351155817233,1.17982670333807,-0.434329645307642,-0.806274642029532,-1.07163043730106,0.746760799256974,0.676492044601973,-1.3920005516631,-0.154705344468926,-1.7840853084125,-1.34908510633462,-0.372703240786653,-1.27676252510409,-0.53706864758978,-0.547866245614461,NA,0.266621774727624,0.75501725972104
"CAN","Canada",0.464760072119389,NA,NA,NA,1.3192792005207,-1.25977582327662,0.143622938644385,0.898561472955761,0.308146515493561,0.875615418746537,0.31726493307266,-0.832044398585683,1.2753796291191,1.27241729886198,NA,NA,NA,0.357719345887271,NA,NA,-0.311936959036364,-0.279204536864946,-0.779510221513154,0.217396482925809,0.4251185231549
"CHL","Chile",-0.509467229112862,1.07241848043442,1.05559386363092,0.940162350217714,0.692479801282344,-0.896014892432868,-0.499701760393737,-0.0755431801819372,1.27068964636301,0.485787513685147,-0.373658075038693,-0.823376013252998,-0.0178358539769418,0.0508110031113595,-0.176771536811846,-0.689892670552831,0.22634849099521,0.506345532420516,1.08098459254266,0.903341190651908,-0.31781053681037,-0.267115597499543,0.412866326265892,2.00596404478455,-0.472730839452769
"COL","Colombia",-0.913729925478894,2.24598382168845,2.22018894563399,1.46998811558525,-0.63839852606584,1.25155727442644,0.915785924529613,0.382484663843876,0.543820764021683,-0.564750028573266,0.28700828943316,-0.0723921042914921,-1.4168548006981,-1.42052376333441,0.274239624494868,-0.64184996968243,0.586128009053412,0.253007659779342,1.16842914817073,0.648917461780888,0.722372326530423,0.700662886604695,0.627407059275189,0.222271166454943,-0.863838379104708
"CZE","Czech Republic",0.0459255998802247,-0.178399210201395,-0.179009211323305,-0.513513532797137,-1.50123579696421,0.0514609077783808,0.384160002829233,0.0234578558918346,-1.00708665410134,-1.3783004037135,-0.40466165412374,-0.396581892891086,0.402902838905952,-0.213353106448789,-2.29704539537448,-0.968323848934357,-1.48657709934723,-1.47568246624588,-1.82986197287161,-1.44595099244984,-0.588216592984855,-0.637188803413494,-1.04069324743091,-0.765336347959751,-0.101951736268142
"EST","Estonia",-0.0606565322203976,-0.465182308724066,-0.463732984145419,-1.01928294371518,0.356314933429828,-0.0527943868548231,0.961054018081856,0.0468247399505923,-0.309140756110011,-0.770901230278959,-0.0190769799978376,0.117204177559625,0.751919941634552,0.777692849016858,-1.45230582589796,-0.599746964310882,-1.00129988968548,-1.09168927879454,-0.956295860663685,-1.03380233466593,-0.677555113709563,-0.59941897992472,-1.27728922487424,-0.613465487242975,-0.19620955659041
"FIN","Finland",0.505977381017677,-0.573061874576397,-0.583865684335937,-1.27524111481107,-1.05347289370989,-0.0987419583786763,0.271145200449393,0.629404766429021,-0.130356926195421,0.143072359315224,-0.478767921834246,-0.807241866259483,1.12169890496638,1.35103334829801,0.151996741447417,0.269433777100133,-1.05331393177016,-1.46346844148127,-1.21816262117333,0.197523397518365,-0.645773949155649,-0.634804615377061,-1.00124696900146,-1.27930023410885,0.705956646674532
"FRA","France",0.413550688336668,-0.35207918005894,-0.332835300487645,0.336818255596459,0.0776041055583743,-0.8596358566778,0.157822532687508,0.256687754747163,0.395822045470676,-0.029695163741965,-0.563048705566942,-1.62126023403829,0.358946868553977,0.46155928283533,-0.947548475510372,-1.84019308355057,-1.16224128825819,-0.71878635362049,-0.320573345028508,-1.28435725013731,-0.0287066264037639,0.0428642973473031,0.749589974493087,-0.0154864718272444,0.341276593510993
