CNT,Country,GNI,StudentTeacherRatio,TeacherMasters,ClassSize,ExtraCur,MaterialShortages,StaffShortages,StudentBehaviour,TeacherBehaviour,Attitude,Bullying,Discipline,SocioEcoStatus,ParentEducation,Competitiveness,Cooperation,TeacherFeedback,TeacherEngagment,TeacherInterest,TeacherSupport,TruantDay,TruantClass,PositiveAffect,LearningTime
AUS,Australia,0.5671788396848307,-0.07128805509584903,-0.06784250280140576,-0.4198271230473452,1.1830233635740537,-1.373696673823854,-0.6865537990234883,0.1585235847384739,0.6094464938930134,0.5210864586586209,1.0270259749748645,-1.129713348430876,1.1625559085183526,0.6647376156003622,1.054327705189925,-0.06356625543628035,1.1355191534069669,0.1540271951394437,0.5320861602018511,0.3500997595277947,-0.40472221773406697,-0.5737185963132683,NaN,-0.687890552307144
AUT,Austria,0.7857554777818101,NaN,NaN,-0.8796339656847763,-1.2829700425473447,-0.6622077221161597,-0.3051966428216975,0.15932799152684035,-0.6342781385213904,-0.08881832318941639,-0.4584653958481379,0.5749536409930811,0.6341454734103099,-0.16377118876098187,-0.40344212670235624,1.5409797050426406,-0.5389162416319031,-1.161301870572383,-0.7990722893371106,-2.18412695513102,-0.4204665045179192,-0.3842201560597916,0.12294987652399268,0.7950738903145882
BEL,Belgium,0.6375397003293822,-0.9216817237599868,-0.9057253911941539,-1.246111263502951,-1.5499804590269444,-0.3167277252194893,0.8807828973685763,0.6683511558172326,1.1798267033380716,-0.4343296453076415,-0.8062746420295318,-1.071630437301058,0.7467607992569737,0.6764920446019728,-1.3920005516631022,-0.1547053444689261,-1.784085308412495,-1.3490851063346154,-0.3727032407866533,-1.2767625251040926,-0.5370686475897802,-0.5478662456144606,NaN,0.26662177472762416
CAN,Canada,0.46476007211938897,NaN,NaN,NaN,1.3192792005206975,-1.2597758232766203,0.1436229386443848,0.8985614729557607,0.3081465154935615,0.8756154187465367,0.3172649330726599,-0.8320443985856832,1.275379629119099,1.2724172988619753,NaN,NaN,NaN,0.357719345887271,NaN,NaN,-0.3119369590363645,-0.2792045368649464,-0.7795102215131536,0.21739648292580943
CHL,Chile,-0.5094672291128619,1.0724184804344206,1.0555938636309172,0.9401623502177137,0.6924798012823439,-0.8960148924328681,-0.4997017603937372,-0.0755431801819372,1.2706896463630115,0.4857875136851471,-0.3736580750386934,-0.8233760132529983,-0.01783585397694184,0.05081100311135947,-0.17677153681184565,-0.6898926705528309,0.22634849099521048,0.506345532420516,1.0809845925426644,0.9033411906519075,-0.3178105368103701,-0.26711559749954294,0.4128663262658918,2.0059640447845504
COL,Colombia,-0.9137299254788942,2.245983821688455,2.22018894563399,1.4699881155852472,-0.6383985260658404,1.2515572744264367,0.9157859245296132,0.38248466384387564,0.5438207640216829,-0.564750028573266,0.2870082894331601,-0.07239210429149205,-1.4168548006981019,-1.4205237633344119,0.27423962449486783,-0.6418499696824305,0.5861280090534121,0.25300765977934175,1.1684291481707259,0.6489174617808882,0.7223723265304226,0.7006628866046947,0.6274070592751888,0.22227116645494321
CZE,Czech Republic,0.04592559988022471,-0.17839921020139532,-0.1790092113233048,-0.5135135327971365,-1.5012357969642123,0.05146090777838076,0.38416000282923335,0.02345785589183457,-1.007086654101338,-1.378300403713498,-0.4046616541237401,-0.39658189289108564,0.4029028389059519,-0.213353106448789,-2.2970453953744756,-0.9683238489343574,-1.4865770993472311,-1.4756824662458816,-1.8298619728716063,-1.4459509924498422,-0.5882165929848545,-0.6371888034134942,-1.0406932474309096,-0.7653363479597514
DNK,Denmark,0.8319688241223143,-0.12989613110956524,-0.14963631583727663,-0.9890009062118433,-1.530218537743746,-1.2210288802740552,-1.4331408013583506,-0.20499262667151036,-0.7612652637538668,-0.05602374129043995,-0.22438831162937034,0.09146793208641392,1.2948642780425428,1.3694989348262685,-0.964713307629521,1.2376708101446412,0.08038922511592776,-0.17609911344145243,0.27685271491029373,-0.21823830856658702,-0.20783329475229204,-0.21352054569020051,0.6769163775985714,0.26495717367853594
EST,Estonia,-0.06065653222039761,-0.4651823087240664,-0.4637329841454191,-1.0192829437151762,0.35631493342982795,-0.05279438685482308,0.9610540180818558,0.046824739950592324,-0.3091407561100109,-0.7709012302789585,-0.019076979997837615,0.11720417755962481,0.7519199416345522,0.7776928490168583,-1.4523058258979622,-0.5997469643108824,-1.0012998896854808,-1.091689278794545,-0.9562958606636852,-1.0338023346659344,-0.6775551137095627,-0.5994189799247205,-1.2772892248742407,-0.6134654872429754
FIN,Finland,0.5059773810176765,-0.5730618745763971,-0.5838656843359369,-1.2752411148110723,-1.0534728937098858,-0.09874195837867633,0.2711452004493928,0.6294047664290213,-0.1303569261954214,0.14307235931522427,-0.47876792183424566,-0.8072418662594828,1.1216989049663777,1.3510333482980108,0.15199674144741682,0.2694337771001326,-1.0533139317701634,-1.4634684414812713,-1.2181626211733252,0.1975233975183653,-0.6457739491556495,-0.634804615377061,-1.0012469690014625,-1.27930023410885
